ds,y_qty,y_revenue,temp_avg,rain_mm,is_rainy,is_weekend,is_holiday,is_pre_holiday,is_post_holiday,day_of_week,holiday_label,month,year,day,week_of_year,quarter
2020-02-14,8,2594.39,31.35,0.0,0,0,0,0,0,4,,2,2020,14,7,1
2020-02-15,4,2243.1900000000005,26.65,0.0,0,1,0,0,0,5,,2,2020,15,7,1
2020-02-16,4,5306.07,28.4,0.025,1,1,0,0,0,6,,2,2020,16,7,1
2020-02-17,8,7102.59,31.099999999999998,0.0,0,0,0,0,0,0,,2,2020,17,8,1
2020-02-18,11,3879.87,29.375,0.0,0,0,0,0,0,1,,2,2020,18,8,1
2020-02-19,7,5617.46,29.9,0.0,0,0,0,0,0,2,,2,2020,19,8,1
2020-02-20,114,71420.1,30.82045454545454,0.00681818181818182,1,0,0,1,0,3,,2,2020,20,8,1
2020-02-21,84,44267.14,29.978787878787877,0.0393939393939394,1,0,1,0,0,4,Maha Sivarathri Day,2,2020,21,8,1
2020-02-22,66,34935.94,30.375862068965517,0.006896551724137932,1,1,0,0,1,5,,2,2020,22,8,1
2020-02-23,10,3949.5499999999997,29.733333333333334,0.0,0,1,0,0,0,6,,2,2020,23,8,1
2020-02-24,5,7048.879999999999,28.799999999999997,0.0,0,0,0,0,0,0,,2,2020,24,9,1
2020-02-25,1,85.4,32.1,0.0,0,0,0,0,0,1,,2,2020,25,9,1
2020-02-26,9,4579.589999999999,29.65,0.0,0,0,0,0,0,2,,2,2020,26,9,1
2020-02-27,17,16707.35,32.975,0.0,0,0,0,0,0,3,,2,2020,27,9,1
2020-02-28,4,493.68,29.35,0.0,0,0,0,0,0,4,,2,2020,28,9,1
2020-02-29,4,1747.14,30.1,0.0,0,1,0,0,0,5,,2,2020,29,9,1
2020-03-01,11,3949.63,28.9,0.0,0,1,0,0,0,6,,3,2020,1,9,1
2020-03-02,4,2960.35,28.1,0.0,0,0,0,0,0,0,,3,2020,2,10,1
2020-03-03,8,5094.360000000001,28.933333333333334,0.0,0,0,0,0,0,1,,3,2020,3,10,1
2020-03-04,11,4252.17,28.925,0.0,0,0,0,0,0,2,,3,2020,4,10,1
2020-03-05,9,1608.19,29.4,0.0,0,0,0,0,0,3,,3,2020,5,10,1
2020-03-06,3,2479.92,28.5,0.0,0,0,0,0,0,4,,3,2020,6,10,1
2020-03-07,3,1119.23,29.5,0.13333333333333333,1,1,0,0,0,5,,3,2020,7,10,1
2020-03-08,78,39157.84,29.19090909090909,0.018181818181818184,1,1,0,1,0,6,,3,2020,8,10,1
2020-03-09,109,74795.61,29.53421052631579,0.0,0,0,1,0,0,0,Medin Full Moon Poya Day,3,2020,9,11,1
2020-03-10,108,61074.82,29.123255813953488,0.03488372093023256,1,0,0,0,1,1,,3,2020,10,11,1
2020-03-11,4,551.3100000000001,30.6,0.1,1,0,0,0,0,2,,3,2020,11,11,1
2020-03-12,4,151.18,30.4,0.0,0,0,0,0,0,3,,3,2020,12,11,1
2020-03-13,4,3504.17,28.766666666666666,0.0,0,0,0,0,0,4,,3,2020,13,11,1
2020-03-14,24,7677.860000000001,30.6375,0.0,0,1,0,0,0,5,,3,2020,14,11,1
2020-03-15,99,80914.16,29.606976744186046,0.009302325581395349,1,1,0,1,0,6,,3,2020,15,11,1
2020-03-16,106,62138.6,30.089473684210528,0.13421052631578947,1,0,1,1,0,0,Special Public Holiday,3,2020,16,12,1
2020-03-17,78,43229.97,28.91764705882353,0.1264705882352941,1,0,1,1,1,1,Special Public Holiday,3,2020,17,12,1
2020-03-18,103,78026.39,29.61627906976744,0.02790697674418605,1,0,1,1,1,2,Special Public Holiday,3,2020,18,12,1
2020-03-19,87,56999.62,28.045714285714286,0.562857142857143,1,0,1,0,1,3,Special Public Holiday,3,2020,19,12,1
2020-03-20,66,46095.37,28.784848484848485,0.09393939393939395,1,0,0,0,1,4,,3,2020,20,12,1
2020-03-21,4,980.54,27.5,0.0,0,1,0,0,0,5,,3,2020,21,12,1
2020-03-22,3,600.81,30.2,0.0,0,1,0,0,0,6,,3,2020,22,12,1
2020-03-23,2,634.97,27.4,0.1,1,0,0,0,0,0,,3,2020,23,13,1
2020-03-24,1,970.84,31.0,0.0,0,0,0,0,0,1,,3,2020,24,13,1
2020-03-25,2,525.1499999999999,29.7,0.0,0,0,0,0,0,2,,3,2020,25,13,1
2020-03-26,1,1553.35,28.6,0.0,0,0,0,0,0,3,,3,2020,26,13,1
2020-03-27,1,1685.74,27.5,0.0,0,0,0,0,0,4,,3,2020,27,13,1
2020-03-28,5,2949.43,29.4,0.0,0,1,0,0,0,5,,3,2020,28,13,1
2020-03-29,3,1663.02,28.3,0.0,0,1,0,0,0,6,,3,2020,29,13,1
2020-03-30,4,1222.61,28.9,0.0,0,0,0,0,0,0,,3,2020,30,14,1
2020-03-31,2,878.24,27.3,0.0,0,0,0,0,0,1,,3,2020,31,14,1
2020-04-01,2,796.23,28.1,0.0,0,0,0,0,0,2,,4,2020,1,14,2
2020-04-02,7,1849.84,31.3,0.0,0,0,0,0,0,3,,4,2020,2,14,2
2020-04-03,5,1397.0800000000002,27.4,0.9500000000000001,1,0,0,0,0,4,,4,2020,3,14,2
2020-04-04,1,1282.44,26.1,5.7,1,1,0,0,0,5,,4,2020,4,14,2
2020-04-05,1,758.3599999999999,28.0,0.0,0,1,0,0,0,6,,4,2020,5,14,2
2020-04-06,112,60116.69,29.56744186046512,0.09069767441860464,1,0,0,1,0,0,,4,2020,6,15,2
2020-04-07,90,53239.85,29.358064516129033,0.10645161290322581,1,0,1,0,0,1,Bak Full Moon Poya Day,4,2020,7,15,2
2020-04-08,68,49538.11,29.07241379310345,0.10689655172413794,1,0,0,0,1,2,,4,2020,8,15,2
2020-04-09,68,48443.81,29.282758620689656,0.05862068965517241,1,0,0,1,0,3,,4,2020,9,15,2
2020-04-10,85,55845.159999999996,29.50588235294118,0.1411764705882353,1,0,1,0,0,4,Good Friday,4,2020,10,15,2
2020-04-11,81,55969.13,28.64857142857143,0.3685714285714286,1,1,0,1,1,5,,4,2020,11,15,2
2020-04-12,80,57507.14,28.403333333333332,0.6366666666666667,1,1,1,1,0,6,Day Before Sinhala and Tamil New Year,4,2020,12,15,2
2020-04-13,73,42375.68,29.23448275862069,0.11724137931034483,1,0,1,0,1,0,Sinhala and Tamil New Year,4,2020,13,16,2
2020-04-14,88,54934.58,28.893939393939394,0.7151515151515152,1,0,0,0,1,1,,4,2020,14,16,2
2020-04-15,2,1453.6399999999999,28.05,0.45,1,0,0,0,0,2,,4,2020,15,16,2
2020-04-16,7,1680.45,30.066666666666666,0.06666666666666667,1,0,0,0,0,3,,4,2020,16,16,2
2020-04-17,3,2581.91,30.25,0.15,1,0,0,0,0,4,,4,2020,17,16,2
2020-04-18,1,1450.44,31.4,0.0,0,1,0,0,0,5,,4,2020,18,16,2
2020-04-19,3,1390.1,27.2,0.0,0,1,0,0,0,6,,4,2020,19,16,2
2020-04-20,5,305.78999999999996,28.1,0.0,0,0,0,0,0,0,,4,2020,20,17,2
2020-04-21,5,1066.29,30.549999999999997,0.05,1,0,0,0,0,1,,4,2020,21,17,2
2020-04-22,3,3392.09,27.4,0.0,0,0,0,0,0,2,,4,2020,22,17,2
2020-04-23,1,755.26,25.3,0.0,0,0,0,0,0,3,,4,2020,23,17,2
2020-04-24,1,784.42,28.0,0.0,0,0,0,0,0,4,,4,2020,24,17,2
2020-04-25,2,1626.11,28.9,0.0,0,1,0,0,0,5,,4,2020,25,17,2
2020-04-26,5,2974.38,27.85,0.15000000000000002,1,1,0,0,0,6,,4,2020,26,17,2
2020-04-27,3,277.81,31.0,0.0,0,0,0,0,0,0,,4,2020,27,18,2
2020-04-28,2,746.23,28.3,0.2,1,0,0,0,0,1,,4,2020,28,18,2
2020-04-29,3,1253.0700000000002,29.4,0.0,0,0,0,0,0,2,,4,2020,29,18,2
2020-04-30,74,35434.97,29.256666666666668,0.12333333333333334,1,0,0,1,0,3,,4,2020,30,18,2
2020-05-01,75,41732.49,29.334482758620688,0.05172413793103448,1,0,1,0,0,4,International Workers' Day,5,2020,1,18,2
2020-05-02,70,47734.79,29.900000000000002,0.10606060606060606,1,1,0,0,1,5,,5,2020,2,18,2
2020-05-03,3,1702.48,28.8,0.0,0,1,0,0,0,6,,5,2020,3,18,2
2020-05-04,7,1455.8300000000002,28.95,0.0,0,0,0,0,0,0,,5,2020,4,19,2
2020-05-05,23,5626.93,28.04,0.06000000000000001,1,0,0,0,0,1,,5,2020,5,19,2
2020-05-06,105,58201.08,28.030232558139534,0.16744186046511628,1,0,0,1,0,2,,5,2020,6,19,2
2020-05-07,100,59496.630000000005,28.990243902439023,0.23902439024390246,1,0,1,1,0,3,Vesak Full Moon Poya Day,5,2020,7,19,2
2020-05-08,126,81011.63,28.29047619047619,0.19285714285714284,1,0,1,0,1,4,Day Following Vesak Full Moon Poya Day,5,2020,8,19,2
2020-05-09,80,64988.45,29.08823529411765,0.2911764705882353,1,1,0,0,1,5,,5,2020,9,19,2
2020-05-10,3,2328.68,26.3,1.7,1,1,0,0,0,6,,5,2020,10,19,2
2020-05-11,2,1765.64,26.1,0.0,0,0,0,0,0,0,,5,2020,11,20,2
2020-05-12,7,2686.39,29.566666666666666,0.06666666666666667,1,0,0,0,0,1,,5,2020,12,20,2
2020-05-13,1,962.34,26.5,0.0,0,0,0,0,0,2,,5,2020,13,20,2
2020-05-14,4,3588.14,29.75,0.05,1,0,0,0,0,3,,5,2020,14,20,2
2020-05-15,4,1073.18,28.2,0.7,1,0,0,0,0,4,,5,2020,15,20,2
2020-05-16,3,215.25000000000003,30.4,0.2,1,1,0,0,0,5,,5,2020,16,20,2
2020-05-17,5,1456.84,29.0,0.3,1,1,0,0,0,6,,5,2020,17,20,2
2020-05-18,4,1487.8600000000001,28.6,0.0,0,0,0,0,0,0,,5,2020,18,21,2
2020-05-19,3,736.18,30.0,0.7,1,0,0,0,0,1,,5,2020,19,21,2
2020-05-20,6,4488.599999999999,28.75,0.35,1,0,0,0,0,2,,5,2020,20,21,2
2020-05-21,2,909.03,28.2,0.5,1,0,0,0,0,3,,5,2020,21,21,2
2020-05-22,3,180.54,27.6,0.0,0,0,0,0,0,4,,5,2020,22,21,2
2020-05-23,3,4525.4400000000005,28.0,0.1,1,1,0,0,0,5,,5,2020,23,21,2
2020-05-24,108,58013.86,28.37222222222222,0.18611111111111112,1,1,0,1,0,6,,5,2020,24,21,2
2020-05-25,61,42072.64,28.624137931034483,0.11724137931034483,1,0,1,0,0,0,Eid al-Fitr,5,2020,25,22,2
2020-05-26,89,63475.94,28.216216216216218,0.17567567567567569,1,0,0,0,1,1,,5,2020,26,22,2
2020-05-27,1,90.6,26.6,0.2,1,0,0,0,0,2,,5,2020,27,22,2
2020-05-28,7,6935.460000000001,27.6,0.2,1,0,0,0,0,3,,5,2020,28,22,2
2020-05-29,1,2114.89,27.2,0.2,1,0,0,0,0,4,,5,2020,29,22,2
2020-05-30,9,4474.53,28.900000000000002,0.20000000000000004,1,1,0,0,0,5,,5,2020,30,22,2
2020-05-31,4,103.94,29.3,0.0,0,1,0,0,0,6,,5,2020,31,22,2
2020-06-01,3,2112.96,27.5,0.0,0,0,0,0,0,0,,6,2020,1,23,2
2020-06-02,8,3724.3199999999997,28.933333333333334,0.06666666666666667,1,0,0,0,0,1,,6,2020,2,23,2
2020-06-03,6,791.4399999999999,29.2,0.0,0,0,0,0,0,2,,6,2020,3,23,2
2020-06-04,97,52577.83,28.74864864864865,0.032432432432432434,1,0,0,1,0,3,,6,2020,4,23,2
2020-06-05,118,69309.84,28.09047619047619,0.5261904761904761,1,0,1,0,0,4,Poson Full Moon Poya Day,6,2020,5,23,2
2020-06-06,119,70044.03,26.50487804878049,2.841463414634146,1,1,0,0,1,5,,6,2020,6,23,2
2020-06-07,2,2286.8099999999995,26.6,2.4,1,1,0,0,0,6,,6,2020,7,23,2
2020-06-08,3,968.56,29.0,0.0,0,0,0,0,0,0,,6,2020,8,24,2
2020-06-09,6,3817.96,27.8,0.06666666666666667,1,0,0,0,0,1,,6,2020,9,24,2
2020-06-10,1,1162.1799999999998,28.1,0.8,1,0,0,0,0,2,,6,2020,10,24,2
2020-06-11,3,1222.8200000000002,26.8,1.8,1,0,0,0,0,3,,6,2020,11,24,2
2020-06-12,2,942.75,27.3,0.0,0,0,0,0,0,4,,6,2020,12,24,2
2020-06-13,11,5110.56,29.0,0.43333333333333335,1,1,0,0,0,5,,6,2020,13,24,2
2020-06-14,4,534.3900000000001,29.5,0.1,1,1,0,0,0,6,,6,2020,14,24,2
2020-06-15,2,2586.9,29.4,0.1,1,0,0,0,0,0,,6,2020,15,25,2
2020-06-16,8,7889.71,28.4,0.125,1,0,0,0,0,1,,6,2020,16,25,2
2020-06-17,11,5154.36,27.9,0.725,1,0,0,0,0,2,,6,2020,17,25,2
2020-06-18,18,7140.83,28.2,0.016666666666666666,1,0,0,0,0,3,,6,2020,18,25,2
2020-06-19,12,10189.29,28.02,0.27999999999999997,1,0,0,0,0,4,,6,2020,19,25,2
2020-06-20,10,4555.97,29.0,0.13999999999999999,1,1,0,0,0,5,,6,2020,20,25,2
2020-06-21,9,772.22,28.2,1.0,1,1,0,0,0,6,,6,2020,21,25,2
2020-06-22,14,4809.6,28.619999999999997,0.4,1,0,0,0,0,0,,6,2020,22,26,2
2020-06-23,12,8657.130000000001,27.76,0.0,0,0,0,0,0,1,,6,2020,23,26,2
2020-06-24,10,1186.2,28.450000000000003,0.0,0,0,0,0,0,2,,6,2020,24,26,2
2020-06-25,10,3465.35,26.066666666666666,0.8666666666666667,1,0,0,0,0,3,,6,2020,25,26,2
2020-06-26,9,4204.39,27.325,0.525,1,0,0,0,0,4,,6,2020,26,26,2
2020-06-27,2,1253.4300000000003,26.6,0.0,0,1,0,0,0,5,,6,2020,27,26,2
2020-06-28,4,8743.109999999999,29.15,0.0,0,1,0,0,0,6,,6,2020,28,26,2
2020-06-29,12,3733.7799999999997,27.416666666666668,0.3333333333333334,1,0,0,0,0,0,,6,2020,29,27,2
2020-06-30,12,8544.86,27.0,0.06666666666666667,1,0,0,0,0,1,,6,2020,30,27,2
2020-07-01,3,8784.52,27.2,0.0,0,0,0,0,0,2,,7,2020,1,27,3
2020-07-02,12,5469.23,27.675,0.1,1,0,0,0,0,3,,7,2020,2,27,3
2020-07-03,108,71906.74,28.24318181818182,0.038636363636363635,1,0,0,1,0,4,,7,2020,3,27,3
2020-07-04,84,62851.619999999995,27.658823529411762,0.10294117647058823,1,1,1,0,0,5,Esala Full Moon Poya Day,7,2020,4,27,3
2020-07-05,76,55808.81,28.406896551724138,0.14482758620689656,1,1,0,0,1,6,,7,2020,5,27,3
2020-07-06,17,5701.42,27.619999999999997,0.02,1,0,0,0,0,0,,7,2020,6,28,3
2020-07-07,5,1003.0799999999998,28.833333333333332,0.3,1,0,0,0,0,1,,7,2020,7,28,3
2020-07-08,16,10182.51,27.383333333333336,0.03333333333333333,1,0,0,0,0,2,,7,2020,8,28,3
2020-07-09,24,20004.03,27.7125,0.2125,1,0,0,0,0,3,,7,2020,9,28,3
2020-07-10,9,5690.17,28.400000000000002,0.6,1,0,0,0,0,4,,7,2020,10,28,3
2020-07-11,1,896.3199999999999,27.6,0.3,1,1,0,0,0,5,,7,2020,11,28,3
2020-07-12,5,3435.02,27.333333333333332,0.03333333333333333,1,1,0,0,0,6,,7,2020,12,28,3
2020-07-13,7,5603.59,28.166666666666668,0.10000000000000002,1,0,0,0,0,0,,7,2020,13,29,3
2020-07-14,16,12172.560000000001,27.939999999999998,0.1,1,0,0,0,0,1,,7,2020,14,29,3
2020-07-15,11,4973.389999999999,27.919999999999998,0.27999999999999997,1,0,0,0,0,2,,7,2020,15,29,3
2020-07-16,6,3700.38,26.700000000000003,0.05,1,0,0,0,0,3,,7,2020,16,29,3
2020-07-17,5,2031.4099999999999,28.75,0.15000000000000002,1,0,0,0,0,4,,7,2020,17,29,3
2020-07-18,8,7653.52,27.7,0.0,0,1,0,0,0,5,,7,2020,18,29,3
2020-07-19,9,8314.41,29.625,0.025,1,1,0,0,0,6,,7,2020,19,29,3
2020-07-20,10,4149.63,26.900000000000002,0.03333333333333333,1,0,0,0,0,0,,7,2020,20,30,3
2020-07-21,3,1297.88,26.1,0.0,0,0,0,0,0,1,,7,2020,21,30,3
2020-07-22,2,1616.44,26.7,0.0,0,0,0,0,0,2,,7,2020,22,30,3
2020-07-23,20,4653.21,25.939999999999998,0.42000000000000004,1,0,0,0,0,3,,7,2020,23,30,3
2020-07-24,8,2415.87,26.85,0.1,1,0,0,0,0,4,,7,2020,24,30,3
2020-07-25,13,6308.63,27.25,0.175,1,1,0,0,0,5,,7,2020,25,30,3
2020-07-26,5,2478.57,27.366666666666664,0.06666666666666667,1,1,0,0,0,6,,7,2020,26,30,3
2020-07-27,16,18457.97,27.857142857142858,0.0,0,0,0,0,0,0,,7,2020,27,31,3
2020-07-28,1,1487.4300000000003,27.0,1.6,1,0,0,0,0,1,,7,2020,28,31,3
2020-07-29,6,1747.39,27.2,2.6,1,0,0,0,0,2,,7,2020,29,31,3
2020-07-30,2,114.96,26.4,0.0,0,0,0,0,0,3,,7,2020,30,31,3
2020-07-31,105,92446.33,27.548780487804876,0.10731707317073172,1,0,0,1,0,4,,7,2020,31,31,3
2020-08-01,79,75750.03,27.303030303030305,0.1090909090909091,1,1,1,0,0,5,Eid al-Adha,8,2020,1,31,3
2020-08-02,85,67127.33,27.153333333333332,0.6333333333333333,1,1,0,1,1,6,,8,2020,2,31,3
2020-08-03,92,63232.64,26.986486486486488,0.15405405405405406,1,0,1,0,0,0,Nikini Full Moon Poya Day,8,2020,3,32,3
2020-08-04,71,51913.49,27.083870967741937,0.08064516129032258,1,0,0,0,1,1,,8,2020,4,32,3
2020-08-05,7,3303.9599999999996,27.4,0.2,1,0,0,0,0,2,,8,2020,5,32,3
2020-08-06,7,962.28,26.15,1.4000000000000001,1,0,0,0,0,3,,8,2020,6,32,3
2020-08-07,2,82.41,27.0,0.2,1,0,0,0,0,4,,8,2020,7,32,3
2020-08-08,8,2378.33,26.3,0.7000000000000001,1,1,0,0,0,5,,8,2020,8,32,3
2020-08-09,12,12315.57,26.325,0.575,1,1,0,0,0,6,,8,2020,9,32,3
2020-08-10,8,2209.2200000000003,27.55,0.05,1,0,0,0,0,0,,8,2020,10,33,3
2020-08-11,10,3731.83,27.03333333333333,0.5333333333333333,1,0,0,0,0,1,,8,2020,11,33,3
2020-08-12,4,94.04,26.0,0.0,0,0,0,0,0,2,,8,2020,12,33,3
2020-08-13,10,3721.85,27.299999999999997,0.0,0,0,0,0,0,3,,8,2020,13,33,3
2020-08-14,8,3198.12,27.25,0.05,1,0,0,0,0,4,,8,2020,14,33,3
2020-08-15,1,2446.57,28.5,0.1,1,1,0,0,0,5,,8,2020,15,33,3
2020-08-16,7,2945.02,27.0,0.0,0,1,0,0,0,6,,8,2020,16,33,3
2020-08-17,7,372.39,27.0,0.0,0,0,0,0,0,0,,8,2020,17,34,3
2020-08-18,10,3982.6700000000005,28.15,0.025,1,0,0,0,0,1,,8,2020,18,34,3
2020-08-19,2,2041.1,26.6,0.0,0,0,0,0,0,2,,8,2020,19,34,3
2020-08-20,2,1245.3000000000002,28.2,0.2,1,0,0,0,0,3,,8,2020,20,34,3
2020-08-21,11,2014.38,27.400000000000002,0.03333333333333333,1,0,0,0,0,4,,8,2020,21,34,3
2020-08-22,5,4445.67,26.766666666666666,0.03333333333333333,1,1,0,0,0,5,,8,2020,22,34,3
2020-08-23,3,777.99,26.7,0.0,0,1,0,0,0,6,,8,2020,23,34,3
2020-08-24,14,8954.77,27.525,0.025,1,0,0,0,0,0,,8,2020,24,35,3
2020-08-25,1,3718.769999999999,29.0,0.0,0,0,0,0,0,1,,8,2020,25,35,3
2020-08-26,4,529.22,27.4,0.0,0,0,0,0,0,2,,8,2020,26,35,3
2020-08-27,8,3435.69,28.133333333333336,0.0,0,0,0,0,0,3,,8,2020,27,35,3
2020-08-28,9,3159.5699999999997,27.733333333333334,0.3,1,0,0,0,0,4,,8,2020,28,35,3
2020-08-29,6,4646.67,27.6,0.05,1,1,0,0,0,5,,8,2020,29,35,3
2020-08-30,2,237.45999999999998,26.5,0.0,0,1,0,0,0,6,,8,2020,30,35,3
2020-08-31,100,82179.91,26.576315789473682,0.32894736842105265,1,0,0,1,0,0,,8,2020,31,36,3
2020-09-01,108,72599.73,26.229268292682928,0.7048780487804878,1,0,1,0,0,1,Binara Full Moon Poya Day,9,2020,1,36,3
2020-09-02,83,51093.3,25.410000000000004,1.1233333333333335,1,0,0,0,1,2,,9,2020,2,36,3
2020-09-03,9,3596.19,26.950000000000003,0.35000000000000003,1,0,0,0,0,3,,9,2020,3,36,3
2020-09-04,3,176.19,26.7,0.0,0,0,0,0,0,4,,9,2020,4,36,3
2020-09-05,3,1140.3,25.7,0.5,1,1,0,0,0,5,,9,2020,5,36,3
2020-09-06,6,1128.86,26.15,3.5999999999999996,1,1,0,0,0,6,,9,2020,6,36,3
2020-09-07,2,2415.7,28.0,0.1,1,0,0,0,0,0,,9,2020,7,37,3
2020-09-08,5,2114.86,28.35,0.1,1,0,0,0,0,1,,9,2020,8,37,3
2020-09-09,3,1855.65,25.9,0.1,1,0,0,0,0,2,,9,2020,9,37,3
2020-09-10,4,2092.24,26.8,0.2,1,0,0,0,0,3,,9,2020,10,37,3
2020-09-11,3,1519.23,26.8,0.0,0,0,0,0,0,4,,9,2020,11,37,3
2020-09-12,1,205.21999999999997,27.2,0.1,1,1,0,0,0,5,,9,2020,12,37,3
2020-09-13,1,2859.01,27.7,0.1,1,1,0,0,0,6,,9,2020,13,37,3
2020-09-14,3,1254.3,27.9,0.1,1,0,0,0,0,0,,9,2020,14,38,3
2020-09-15,1,328.05,27.9,0.2,1,0,0,0,0,1,,9,2020,15,38,3
2020-09-16,2,9588.13,27.1,0.1,1,0,0,0,0,2,,9,2020,16,38,3
2020-09-17,1,894.2500000000001,28.4,0.2,1,0,0,0,0,3,,9,2020,17,38,3
2020-09-18,4,924.32,26.3,0.0,0,0,0,0,0,4,,9,2020,18,38,3
2020-09-19,3,1593.1,26.8,0.1,1,1,0,0,0,5,,9,2020,19,38,3
2020-09-20,7,5460.6,27.0,0.3333333333333333,1,1,0,0,0,6,,9,2020,20,38,3
2020-09-21,5,3031.74,26.299999999999997,0.1,1,0,0,0,0,0,,9,2020,21,39,3
2020-09-22,8,3707.27,26.5,0.1,1,0,0,0,0,1,,9,2020,22,39,3
2020-09-23,1,1952.05,28.3,0.2,1,0,0,0,0,2,,9,2020,23,39,3
2020-09-24,1,775.95,28.3,0.1,1,0,0,0,0,3,,9,2020,24,39,3
2020-09-25,3,2606.66,25.7,0.0,0,0,0,0,0,4,,9,2020,25,39,3
2020-09-26,4,2014.5400000000002,27.75,0.1,1,1,0,0,0,5,,9,2020,26,39,3
2020-09-27,3,735.69,27.9,0.1,1,1,0,0,0,6,,9,2020,27,39,3
2020-09-28,2,311.31,26.5,0.0,0,0,0,0,0,0,,9,2020,28,40,3
2020-09-29,9,1556.35,26.5,0.5333333333333333,1,0,0,0,0,1,,9,2020,29,40,3
2020-09-30,76,40244.28,26.27741935483871,0.3645161290322581,1,0,0,1,0,2,,9,2020,30,40,3
2020-10-01,88,50260.06,27.5,0.04666666666666667,1,0,1,0,0,3,Adhi Vap Full Moon Poya Day,10,2020,1,40,4
2020-10-02,99,62162.9,27.394117647058824,0.2529411764705882,1,0,0,0,1,4,,10,2020,2,40,4
2020-10-03,6,2848.18,27.75,0.0,0,1,0,0,0,5,,10,2020,3,40,4
2020-10-04,5,2484.5499999999997,28.75,0.25,1,1,0,0,0,6,,10,2020,4,40,4
2020-10-05,6,5013.9,26.875,0.0,0,0,0,0,0,0,,10,2020,5,41,4
2020-10-06,4,1962.1899999999998,27.700000000000003,0.0,0,0,0,0,0,1,,10,2020,6,41,4
2020-10-07,5,11548.25,26.8,0.2,1,0,0,0,0,2,,10,2020,7,41,4
2020-10-08,7,1558.62,27.6,0.30000000000000004,1,0,0,0,0,3,,10,2020,8,41,4
