holiday,ds,lower_window,upper_window
Good Friday,2023-04-07,0,0
Day Before Sinhala and Tamil New Year,2023-04-13,0,0
Sinhala and Tamil New Year,2023-04-14,0,0
Eid al-Fitr,2023-04-22,0,0
International Workers' Day,2023-05-01,0,0
Vesak Full Moon Poya Day,2023-05-05,0,0
Day Following Vesak Full Moon Poya Day,2023-05-06,0,0
Poson Full Moon Poya Day,2023-06-03,0,0
Eid al-Adha,2023-06-29,0,0
Adhi Esala Full Moon Poya Day,2023-07-03,0,0
Esala Full Moon Poya Day,2023-08-01,0,0
Nikini Full Moon Poya Day,2023-08-30,0,0
Prophet's Birthday,2023-09-28,0,0
Binara Full Moon Poya Day,2023-09-29,0,0
Vap Full Moon Poya Day,2023-10-28,0,0
Deepavali Festival Day,2023-11-12,0,0
Il Full Moon Poya Day,2023-11-26,0,0
Christmas Day,2023-12-25,0,0
Unduvap Full Moon Poya Day,2023-12-26,0,0
Tamil Thai Pongal Day,2024-01-15,0,0
Duruthu Full Moon Poya Day,2024-01-25,0,0
Independence Day,2024-02-04,0,0
Nawam Full Moon Poya Day,2024-02-23,0,0
Maha Sivarathri Day,2024-03-08,0,0
Medin Full Moon Poya Day,2024-03-24,0,0
Good Friday,2024-03-29,0,0
Eid al-Fitr,2024-04-11,0,0
Day Before Sinhala and Tamil New Year,2024-04-12,0,0
Sinhala and Tamil New Year,2024-04-13,0,0
Special Public Holiday,2024-04-15,0,0
Bak Full Moon Poya Day,2024-04-23,0,0
International Workers' Day,2024-05-01,0,0
Vesak Full Moon Poya Day,2024-05-23,0,0
Day Following Vesak Full Moon Poya Day,2024-05-24,0,0
Eid al-Adha,2024-06-17,0,0
Poson Full Moon Poya Day,2024-06-21,0,0
Esala Full Moon Poya Day,2024-07-20,0,0
Nikini Full Moon Poya Day,2024-08-19,0,0
Prophet's Birthday,2024-09-16,0,0
Binara Full Moon Poya Day,2024-09-17,0,0
Special Public Holiday,2024-09-29,0,0
Vap Full Moon Poya Day,2024-10-17,0,0
Deepavali Festival Day,2024-10-31,0,0
Il Full Moon Poya Day,2024-11-15,0,0
Unduvap Full Moon Poya Day,2024-12-14,0,0
Christmas Day,2024-12-25,0,0
Duruthu Full Moon Poya Day,2025-01-13,0,0
Tamil Thai Pongal Day,2025-01-14,0,0
Independence Day,2025-02-04,0,0
Nawam Full Moon Poya Day,2025-02-12,0,0
Maha Sivarathri Day,2025-02-26,0,0
Medin Full Moon Poya Day,2025-03-13,0,0
Bak Full Moon Poya Day,2025-04-12,0,0
Day Before Sinhala and Tamil New Year,2025-04-13,0,0
Sinhala and Tamil New Year,2025-04-14,0,0
Good Friday,2025-04-18,0,0
International Workers' Day,2025-05-01,0,0
Vesak Full Moon Poya Day,2025-05-12,0,0
Day Following Vesak Full Moon Poya Day,2025-05-13,0,0
Eid al-Adha,2025-06-07,0,0
Poson Full Moon Poya Day,2025-06-10,0,0
Esala Full Moon Poya Day,2025-07-10,0,0
Nikini Full Moon Poya Day,2025-08-08,0,0
Prophet's Birthday,2025-09-05,0,0
Binara Full Moon Poya Day,2025-09-07,0,0
